year,month,day,Time,EC/Hour,avgTemp/Hour,Weekday
2015,5,26,11:00,2.08000000000002,12,Tuesday
2015,5,26,12:00,0.0999999999999801,12,Tuesday
2015,5,26,13:00,0.190000000000019,13,Tuesday
2015,5,26,14:00,1.6,13,Tuesday
2015,5,26,15:00,0.0999999999999801,13,Tuesday
2015,5,26,16:00,1.31,13,Tuesday
2015,5,26,17:00,0.100000000000016,13,Tuesday
2015,5,26,18:00,1.78999999999999,12,Tuesday
2015,5,26,19:00,1.8,11,Tuesday
2015,5,26,20:00,6.41000000000002,11,Tuesday
2015,5,26,21:00,2.27999999999998,10,Tuesday
2015,5,26,22:00,5.08000000000003,10,Tuesday
2015,5,26,23:00,8.39999999999996,9,Tuesday
2015,5,27,0:00,2.68999999999998,8,Wednesday
2015,5,27,1:00,0.200000000000031,8,Wednesday
2015,5,27,2:00,0.0999999999999801,7,Wednesday
2015,5,27,3:00,0.110000000000028,6,Wednesday
2015,5,27,4:00,0.19999999999996,6,Wednesday
2015,5,27,5:00,3.47000000000001,6,Wednesday
2015,5,27,6:00,16.45,7,Wednesday
2015,5,27,7:00,20.78,8,Wednesday
2015,5,27,8:00,3.40000000000003,9,Wednesday
2015,5,27,9:00,0.0999999999999801,10,Wednesday
2015,5,27,10:00,5.90000000000003,12,Wednesday
2015,5,27,11:00,2.78999999999996,12,Wednesday
2015,5,27,12:00,0.100000000000051,13,Wednesday
2015,5,27,13:00,0.209999999999937,14,Wednesday
2015,5,27,14:00,0.100000000000051,14,Wednesday
2015,5,27,15:00,2.98999999999999,14,Wednesday
2015,5,27,16:00,0.0999999999999801,14,Wednesday
2015,5,27,17:00,0.110000000000028,14,Wednesday
2015,5,27,18:00,4.58999999999996,13,Wednesday
2015,5,27,19:00,3.90999999999998,13,Wednesday
2015,5,27,20:00,7.5,13,Wednesday
2015,5,27,21:00,5.7,12,Wednesday
2015,5,27,22:00,8.29000000000001,11,Wednesday
2015,5,27,23:00,5.50000000000004,11,Wednesday
2015,5,28,0:00,6.20999999999995,10,Thursday
2015,5,28,1:00,0.100000000000051,9,Thursday
2015,5,28,2:00,0.19999999999996,8,Thursday
2015,5,28,3:00,0.0900000000000034,7,Thursday
2015,5,28,4:00,0.200000000000031,7,Thursday
2015,5,28,5:00,4.60999999999999,8,Thursday
2015,5,28,6:00,16.5,9,Thursday
2015,5,28,7:00,9.59000000000003,10,Thursday
2015,5,28,8:00,0.19999999999996,12,Thursday
2015,5,28,9:00,0.150000000000006,13,Thursday
2015,5,28,10:00,2.15000000000003,15,Thursday
2015,5,28,11:00,0.19999999999996,16,Thursday
2015,5,28,12:00,0.100000000000051,17,Thursday
2015,5,28,13:00,0.109999999999957,18,Thursday
